skillCode	power1	power2	castTime	duration	coolTime	lvUpType1	lvUpValue1	lvUpType2	lvUpValue2
100	10.0	20.0	5.0	3.0	15.0	power1	5.0	coolTime	-0.5
101	10.0	20.0	5.0	3.0	15.0	power1	5.0	coolTime	-0.5
102	10.0	20.0	5.0	3.0	15.0	power1	5.0	coolTime	-0.5
103	10.0	20.0	5.0	3.0	15.0	power1	5.0	coolTime	-0.5
200	10.0	20.0	5.0	3.0	15.0	power1	5.0	coolTime	-0.5
201	10.0	20.0	5.0	3.0	15.0	power1	5.0	coolTime	-0.5
202	10.0	20.0	5.0	3.0	15.0	power1	5.0	coolTime	-0.5
203	10.0	20.0	5.0	3.0	15.0	power1	5.0	coolTime	-0.5
300	10.0	20.0	5.0	3.0	15.0	power1	5.0	coolTime	-0.5
301	10.0	20.0	5.0	3.0	15.0	power1	5.0	coolTime	-0.5
302	10.0	20.0	5.0	3.0	15.0	power1	5.0	coolTime	-0.5
303	10.0	20.0	5.0	3.0	15.0	power1	5.0	coolTime	-0.5
400	10.0	20.0	5.0	3.0	15.0	power1	5.0	coolTime	-0.5
401	10.0	20.0	5.0	3.0	15.0	power1	5.0	coolTime	-0.5
402	10.0	20.0	5.0	3.0	15.0	power1	5.0	coolTime	-0.5
403	10.0	20.0	5.0	3.0	15.0	power1	5.0	coolTime	-0.5
500	10.0	20.0	5.0	3.0	15.0	power1	5.0	coolTime	-0.5
501	10.0	20.0	5.0	3.0	15.0	power1	5.0	coolTime	-0.5
502	10.0	20.0	5.0	3.0	15.0	power1	5.0	coolTime	-0.5
503	10.0	20.0	5.0	3.0	15.0	power1	5.0	coolTime	-0.5
600	10.0	20.0	5.0	3.0	15.0	power1	5.0	coolTime	-0.5
601	10.0	20.0	5.0	3.0	15.0	power1	5.0	coolTime	-0.5
602	10.0	20.0	5.0	3.0	15.0	power1	5.0	coolTime	-0.5
603	10.0	20.0	5.0	3.0	15.0	power1	5.0	coolTime	-0.5
